STEP,구분,세부 항목,체크리스트 (To-Do),핵심 포인트 & 꿀팁,완료일
STEP 5,혼수,정수기 구매,다른 가전과 함께,전셋집 설치 어려워도 미리 구매,
STEP 5,혼수,인덕션 구매,다른 가전과 함께,창고 보관 후 나중에 설치 가능,
STEP 5,혼수,가구 품목 리스트업,"침대, 쇼파, 식탁, 옷장 등",집 구조에 맞춰,
STEP 5,혼수,가구 구매 (가전 후),백화점 VIP 세일리지 7% 할인,가전 실적 활용,
STEP 5,혼수,주방용품 리스트업,"냄비, 프라이팬, 그릇 등",가장 나중으로 미루기,
STEP 5,혼수,주방용품 구매 (최후),필요한 것만 낱개로,선물/사은품으로 많이 들어옴,
STEP 6,청첩장,종이 청첩장 디자인,직접 디자인 or 업체,"디자인 욕심 버리기, 가성비 위주",
STEP 6,청첩장,종이 청첩장 인쇄,인쇄소 맡기기,직접 디자인시 비용 절약,
STEP 6,청첩장,모바일 청첩장 제작,보정본 사진 활용,촬영 후 2~3개월 뒤 가능,
STEP 6,청첩장,청첩장 모임 시작,3개월 전부터,다이어트 방해 요소 주의,
STEP 6,청첩장,청첩장 배포,직접 전달 or 우편,하객 리스트 정리,
STEP 6,혼주,어머니 한복 결정,대여 vs 맞춤,가격 차이 크지 않은 경우도,
STEP 6,혼주,어머니 한복 예약/주문,3~4개월 전,피팅 일정 고려,
STEP 6,혼주,아버지 양복 확인,기존 양복 or 새로 맞춤,신랑 예복 샵에서 함께 가능,
STEP 6,혼주,아버지 구두 확인,기존 or 새로 구매,편한 구두 중요,
STEP 6,혼주,혼주 메이크업 업체 선정,동선/주차 편의성 최우선,예식장 근처 추천,
STEP 6,혼주,혼주 메이크업 레퍼런스 전달,중년 배우/영부인 스타일,시상식 헤어 참고,
STEP 6,혼주,혼주 메이크업 예약,당일 일정 확정,이동 시간 고려,
STEP 6,마무리,드레스 최종 가봉,피팅 및 수선 확인,가봉 후 부케/넥타이 색상 결정,
STEP 6,마무리,부케 디자인 결정,드레스 색감에 맞춰,생화 vs 조화,
STEP 6,마무리,부케 주문,결혼식 1~2주 전,생화는 당일 수령,
STEP 6,마무리,식순 작성,사회자 대본 준비,신랑신부가 직접 준비,
STEP 6,마무리,BGM 선곡,"입장곡, 축가 등",음원 파일 준비,
STEP 6,마무리,식전 영상 제작,성장 영상 등,웨딩홀에 파일 전달,
STEP 6,마무리,사회자 섭외,지인 or 전문 사회자,대본 사전 공유,
STEP 6,마무리,축가 섭외,지인에게 요청,리허설 가능 여부,
STEP 6,마무리,피부 관리 시작,2개월 전부터,"피부과, 경락 등",
STEP 6,마무리,머리 염색,1주일 전,너무 일찍하면 퇴색,
STEP 6,마무리,네일 아트,1주일 전,드레스와 어울리게,
STEP 6,마무리,답례품 주문,하객 수 고려,실용적인 품목,
STEP 6,마무리,버스 대절 (선택),단체 이동 필요시,지방 하객용,
STEP 6,마무리,도시락 주문 (선택),스탭/가족용,당일 배송,
STEP 6,당일,헬퍼비 봉투 준비,20~25만원 현금,드레스 매무새 담당,
STEP 6,당일,사회자비 봉투 준비,금액 사전 협의,감사 인사와 함께,
STEP 6,당일,축의금 관리자 지정,가족/친구에게 부탁,당일 정신없음,
STEP 6,당일,예식 진행,리허설 후 본식,행복한 하루 되세요!,
STEP 6,당일,축의금 정리,입금 내역 정리,감사 인사 명단 작성,
STEP 6,당일,감사 인사,문자/카톡 발송,하객들에게 감사,
